term,n_T,n_ST,p_T,p_ST,ll,category
content iri,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
longer vari,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
content giorgi,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
reflect undefin,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
reflect revis,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
reflect intent,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
reflect high-level,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
reflect alloc,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
lot nbest,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
lot nregard,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
refer think,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
refer suffici,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
lot sens,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
regul ear,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
regul includ,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
relat diagram,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
regul itar,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
relat bearer,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
locat claus,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
locat futur,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
locat iri-end,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
locat locationpresencereport,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
rel- sa,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
baselin document,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
locat reason,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
baselin text,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
content term,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
basi claus,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
locat singl,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
basi don,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
rel- equival,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
content sms,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
location-report presence-in-aoi-report,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
locationinfo case,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
locationinfo paramet,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
locationinfo struct,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
reject nif,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
basic chang,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
locationpresencereport case,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
regular ue,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
regular pdu,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
locationpresencereport paramet,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
regul particip,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
locationtyp nthe,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
contribut overlap,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
repetit revisit,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
author author,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
li implement,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
li lemf,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
li liid,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
resolv interoper,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
li modifi,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
li msrp,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
resid octet,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
reserv ts,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
reserv number,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
li ncan,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
resend email,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
li ndear,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
